FirstTime
プレイ開始
経過時間:0分9秒Unit:B
経過時間:0分10秒Unit:A
経過時間:0分11秒Unit:C
経過時間:0分15秒Unit:D
経過時間:0分18秒Unit:B
経過時間:0分19秒Unit:B
経過時間:0分22秒Unit:A
経過時間:0分24秒Unit:B
経過時間:0分26秒Unit:B
経過時間:0分28秒Unit:B
経過時間:0分30秒Unit:B
経過時間:0分35秒Unit:D
経過時間:0分37秒Unit:B
経過時間:0分41秒Unit:B
経過時間:0分42秒Unit:A
経過時間:0分44秒Unit:B
経過時間:0分47秒Unit:B
経過時間:0分49秒Unit:B
経過時間:0分51秒Unit:B
クリアタイム:0分53秒
勝ち⇒はい
Agein⇒いいえ
ManyTime
プレイ開始
経過時間:0分4秒Unit:B
経過時間:0分4秒Unit:B
経過時間:0分6秒Unit:B
経過時間:0分8秒Unit:B
経過時間:0分10秒Unit:B
経過時間:0分20秒Unit:B
経過時間:0分20秒Unit:B
経過時間:0分20秒Unit:B
経過時間:0分20秒Unit:B
経過時間:0分20秒Unit:B
経過時間:0分22秒Unit:B
経過時間:0分24秒Unit:B
経過時間:0分35秒Unit:B
経過時間:0分35秒Unit:B
経過時間:0分35秒Unit:B
経過時間:0分36秒Unit:B
経過時間:0分36秒Unit:B
クリアタイム:0分38秒
勝ち⇒いいえ
Agein⇒はい
連続プレイ
プレイ開始
